PY Sentence Range,Candidate Rank,Match Tier,Match Score,IDF Cosine,Shared Distinct Words,Shared Words,Dd Paragraph Preview,PY Paragraph Preview
s107-s108,2,medium,0.1062,0.0915,3,"ahlāyīh, ašmāh, kunišn",0.26: ka wehān gōhrān ud ēwēnag nigerīd wizīrēnīdār wazurg sūd xwēš xwēšīgān drīstīh ud drōdīh ud ahlāyīh ud paymōgīh ud Druz nihānēnīdārīh čē-m ašmāh kām kunišn man āgāhēnīdan framāyēd,PY 1.23: radīh ī harwisp meh ī ahlaw ahlāyīh rad ka ašmāh bišt hēd ka pad menišn ud ka pad gōwišn ud ka pad kunišn ka pad dōšišn ka pad adōšišnīh ān ī ašmāh pad ān frāz stāyēm bē ō ašmāh niwēyēnam ka ān ašmāh rānagēnīd kē yazišn ud niyāyišn
s1361-s1364,3,medium,0.105,0.0794,4,"ahlāyīh, kunišn, wehān, xwēš",0.26: ka wehān gōhrān ud ēwēnag nigerīd wizīrēnīdār wazurg sūd xwēš xwēšīgān drīstīh ud drōdīh ud ahlāyīh ud paymōgīh ud Druz nihānēnīdārīh čē-m ašmāh kām kunišn man āgāhēnīdan framāyēd,caby_ch28b_st3: ān mizd ī ōy ohrmazd xwēš xwāyam pad niyāyišn ī ka ǰādaggōwīh ī yazdān ud wehān kunam ustāndast menišnīg pad rāmišn ī xwēš pad mēnōyīgīh ī ohrmazd ī fradom pad gāhānīgīh abzāyēnišn ahlāyīh ī pad harwist kunišn kū kunišn tis hamāg pad gāhānīgīh kunišn pad ān ī wahman xrad pad ā...
s2676-s2677,4,medium,0.1046,0.0806,3,"ahlāyīh, ašmāh, sūd",0.26: ka wehān gōhrān ud ēwēnag nigerīd wizīrēnīdār wazurg sūd xwēš xwēšīgān drīstīh ud drōdīh ud ahlāyīh ud paymōgīh ud Druz nihānēnīdārīh čē-m ašmāh kām kunišn man āgāhēnīdan framāyēd,caby_ch51_st15: frāzgōwišnīh ī zardušt kē mizd kē zardušt ham ō maγwandān čāšam pēš pad hāwandkirbagīh kū ō garōdmān ī ohrmazd ras[ān] pēš ān ašmāh wahman pad ahlāyīh sūd čāšēd kū sūd pad frārōnīh kunēd
s857,5,medium,0.102,0.0591,3,"ašmāh, man, xwēš",0.26: ka wehān gōhrān ud ēwēnag nigerīd wizīrēnīdār wazurg sūd xwēš xwēšīgān drīstīh ud drōdīh ud ahlāyīh ud paymōgīh ud Druz nihānēnīdārīh čē-m ašmāh kām kunišn man āgāhēnīdan framāyēd,caby_ch14_st2: bē ō ašmāh amahraspand huxwadāy hudahāg daham ān ī man tan ud ān =iz ī xwēš ǰān bē harwisp huzīyišnīh bun ud bar
s2756-s2761,3,low,0.0788,0.0445,2,"nēst, tis",0.28: paččēn ī pursišn čiyōn pāsox ēd kū ka-š tis andar nēst ī ān čim rāy ǰuttar ōwōn saham čiyōn nibēsīhēd ∵,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s467-s468,1,medium,0.1,0.0381,2,"frawahr, ohrmazd",1.3: harw 3 andar dāmān meh u-šān mehmānīh pad pahlomīgān mardān ašō’ān mēnōyīg pad ān ī abēzag frawahr mēnōy-waxšīhā ō Druz kōxšāg ud spōzāg wānāg ud ānābāg ud ān ī yazdān spāh zōrēnāg mēnōy xwadāyīh ī Ohrmazd gētīyīhā pad gētīy paymōgīh ud ham-bandīh ī tan ud gyān,caby_ch7_st15: pad ahlāyīh bēdaham ohrmazd ī rāyōmand ī xwarrahōmand pad ahlāyīh bēdaham ahlawān frawahr
s3295-s3296,2,medium,0.1,0.0381,2,"frawahr, ohrmazd",1.3: harw 3 andar dāmān meh u-šān mehmānīh pad pahlomīgān mardān ašō’ān mēnōyīg pad ān ī abēzag frawahr mēnōy-waxšīhā ō Druz kōxšāg ud spōzāg wānāg ud ānābāg ud ān ī yazdān spāh zōrēnāg mēnōy xwadāyīh ī Ohrmazd gētīyīhā pad gētīy paymōgīh ud ham-bandīh ī tan ud gyān,caby_ch66_st12: pad ahlāyīh bēdaham ohrmazd ī rāyōmand ī xwarrahōmand pad ahlāyīh bēdaham ahlawān frawahr
s3309-s3310,3,low,0.0999,0.0776,3,"frawahr, ohrmazd, yazdān",1.3: harw 3 andar dāmān meh u-šān mehmānīh pad pahlomīgān mardān ašō’ān mēnōyīg pad ān ī abēzag frawahr mēnōy-waxšīhā ō Druz kōxšāg ud spōzāg wānāg ud ānābāg ud ān ī yazdān spāh zōrēnāg mēnōy xwadāyīh ī Ohrmazd gētīyīhā pad gētīy paymōgīh ud ham-bandīh ī tan ud gyān,caby_ch66_st22: pad ahlāyīh bēdaham frawahr ī ohrmazd ud amahraspandān abāg harwistīn ahlawān frawahr ī mēnōyān yazdān pad ahlāyīh bēdaham frawahr ī gayōmard ud zardušt ī spitāmān ud kay wištāsp ud sadwāstar ī zarduštān abāg harwispīn ahlawān frawahr ī pōryōtkēšān
s1174-s1175,4,low,0.0986,0.076,3,"frawahr, ohrmazd, yazdān",1.3: harw 3 andar dāmān meh u-šān mehmānīh pad pahlomīgān mardān ašō’ān mēnōyīg pad ān ī abēzag frawahr mēnōy-waxšīhā ō Druz kōxšāg ud spōzāg wānāg ud ānābāg ud ān ī yazdān spāh zōrēnāg mēnōy xwadāyīh ī Ohrmazd gētīyīhā pad gētīy paymōgīh ud ham-bandīh ī tan ud gyān,caby_ch22_st27: xwāyam ō ēn yazišn frawahr ī ohrmazd ud amahraspandān abāg harwispīn ahlawān frawahr ī mēnōyān yazdān xwāyam ō ēn yazišn frawahr ī gayōmard ud zardušt ī spitāmān ud kay wištāsp ud isadwāstar ī zarduštān abāg harwispīn ahlawān frawahr ī pōryōtkēšān
s2942,5,low,0.097,0.0668,3,"meh, ohrmazd, tan",1.3: harw 3 andar dāmān meh u-šān mehmānīh pad pahlomīgān mardān ašō’ān mēnōyīg pad ān ī abēzag frawahr mēnōy-waxšīhā ō Druz kōxšāg ud spōzāg wānāg ud ānābāg ud ān ī yazdān spāh zōrēnāg mēnōy xwadāyīh ī Ohrmazd gētīyīhā pad gētīy paymōgīh ud ham-bandīh ī tan ud gyān,caby_ch58_st7: niyāyišn ō tō ātaxš ī ohrmazd ī kē pad ān ī mahist kār bē rasē pad passāxt ī pad tan ī pasēn pad ān ī meh ayārīh ud pad ān ī meh rāmišn dahišn ī hordād ud amurdād
s754,1,strong,0.2287,0.1145,4,"abar, ohrmazd, weh, xwadāy",1.5: u-šān handāxtār gētīyīg [TD4_177] xwadāy Ohrmazd winnārāg ud ān ī abēzag dēn winnārāg ud rawāgēnāg dādār ī weh ī abēzag stāyīdār ud Druz ōšīh-estišnīh framūdār ī pad rawāg-dahišnīh [K35_105r] ī ān ī Weh-dēnīg mānsr rasišn ī ān weh rist-āxēzēnišnīh ud Fraškerd-kerdārīh ham-ayār...,caby_ch10_st22: kē az astān pad yazišn abar weh kū yazišn ān weh ī ohrmazd xwadāy rāy kunēnd
s1082,2,strong,0.2287,0.1145,4,"abar, ohrmazd, weh, xwadāy",1.5: u-šān handāxtār gētīyīg [TD4_177] xwadāy Ohrmazd winnārāg ud ān ī abēzag dēn winnārāg ud rawāgēnāg dādār ī weh ī abēzag stāyīdār ud Druz ōšīh-estišnīh framūdār ī pad rawāg-dahišnīh [K35_105r] ī ān ī Weh-dēnīg mānsr rasišn ī ān weh rist-āxēzēnišnīh ud Fraškerd-kerdārīh ham-ayār...,caby_ch19_st22: kē az astān [ēdōn] pad yazišn abar weh kū yazišn ān weh ī ohrmazd xwadāy rāy kunēnd
s420,3,strong,0.2091,0.1121,4,"abar, ohrmazd, weh, xwadāy",1.5: u-šān handāxtār gētīyīg [TD4_177] xwadāy Ohrmazd winnārāg ud ān ī abēzag dēn winnārāg ud rawāgēnāg dādār ī weh ī abēzag stāyīdār ud Druz ōšīh-estišnīh framūdār ī pad rawāg-dahišnīh [K35_105r] ī ān ī Weh-dēnīg mānsr rasišn ī ān weh rist-āxēzēnišnīh ud Fraškerd-kerdārīh ham-ayār...,caby_ch6_st22: kē az astān ēdōn pad yazišn abar weh kū yazišn ān ī weh ī ohrmazd ī xwadāy rāy kunēnd
s845,4,strong,0.2091,0.1121,4,"abar, ohrmazd, weh, xwadāy",1.5: u-šān handāxtār gētīyīg [TD4_177] xwadāy Ohrmazd winnārāg ud ān ī abēzag dēn winnārāg ud rawāgēnāg dādār ī weh ī abēzag stāyīdār ud Druz ōšīh-estišnīh framūdār ī pad rawāg-dahišnīh [K35_105r] ī ān ī Weh-dēnīg mānsr rasišn ī ān weh rist-āxēzēnišnīh ud Fraškerd-kerdārīh ham-ayār...,caby_ch13_st8: kē az astān ēdōn pad yazišn abar weh kū yazišn ān weh ī ohrmazd ī xwadāy rāy kunēnd
s854,5,strong,0.2091,0.1121,4,"abar, ohrmazd, weh, xwadāy",1.5: u-šān handāxtār gētīyīg [TD4_177] xwadāy Ohrmazd winnārāg ud ān ī abēzag dēn winnārāg ud rawāgēnāg dādār ī weh ī abēzag stāyīdār ud Druz ōšīh-estišnīh framūdār ī pad rawāg-dahišnīh [K35_105r] ī ān ī Weh-dēnīg mānsr rasišn ī ān weh rist-āxēzēnišnīh ud Fraškerd-kerdārīh ham-ayār...,caby_ch13_st12: kē az astān ēdōn pad yazišn abar weh kū yazišn ān weh ī ohrmazd ī xwadāy rāy kunēnd
s2332-s2335,1,strong,0.1533,0.1239,7,"dahišn, dām, dārišn, dēn, sōšāns, tā, zardušt",1.8: wispān dahišn az bun-āfurrišnīh tā abdom frazāmišn ī gētīyīg dām az wehīh-warzišn ī ān ī ōy zahag āwādag [T60a_7r] abar andar dārišn ī čiyōn Hōšang Tahmurid Jam ud Frēdōn čiyōn frēstagān ī dēn čiyōn Zardušt ud Ōšīdar ud Ōšīdarmāh ud Fraškerd-kerdārān ī čiyōn Sōšāns ud Rōšnčašm...,caby_ch46_st6: frāzgōwišnīh zardušt passoxgōwišnīh ohrmazd kē ān ī mad ēstēd nē ō mard kē pad xwāyišn āyēd kū pad kār ud kirbag āyēd dahēd druz ī ān dām kū dāmīh ī druz kunēd ā =š āsamīhēd kū =š bīm wimāyīhēd u =š zanīhēd čē ān ī druwand kē ō druwandān pahlomīh ud ān ahlaw kē ō ahlawān franā...
s876-s877,1,strong,0.1478,0.1214,5,"ahlaw, dādār, mahist, mēnōy, rāst",1.9: (ēk ahlaw Zardušt kē dēn) padīriftār ud yazdān pad [TD4_178] ān ī mēnōy nērōg abēzag- -stāyišnīhā [K35_105v] rāst yaštār ud Druz az ān ī gētīy- -kerbīhā gētīyīg-kārīh agārēnīdār ud dēn ī abēzag kē-š spurr-wehīh ī Spenāg mēnōy ud a-wehīh ī Gannāg Mēnōy ud ōš- -paydāgīh ud ānābi...,caby_ch16_st1: ohrmazd ī ahlaw ī ahlāyīh rad yazam xwadāy ī mahist yazam ī sūdxwāstār ān ī ohrmazd ī frāydādārgēhān ā =iz dādār ī wehīgān dāmān pad awēšān ī rādēnīd zōhr andar zōhrbarān ān =iz ī rāst gōwišn abestāg ī rāst ud harwisp =iz ān ī ahlaw mēnōy yazad yazam
s471,2,strong,0.1314,0.0952,6,"ahlaw, dēn, mēnōy, rāst, zardušt, ēk",1.9: (ēk ahlaw Zardušt kē dēn) padīriftār ud yazdān pad [TD4_178] ān ī mēnōy nērōg abēzag- -stāyišnīhā [K35_105v] rāst yaštār ud Druz az ān ī gētīy- -kerbīhā gētīyīg-kārīh agārēnīdār ud dēn ī abēzag kē-š spurr-wehīh ī Spenāg mēnōy ud a-wehīh ī Gannāg Mēnōy ud ōš- -paydāgīh ud ānābi...,caby_ch7_st17: pad ahlāyīh bēdaham mānsrspand ahlaw kāmagox kū =š kāmag pad menišn abāg ān ī pad ox rāst ast kē ēdōn gōwēd hād ān =iz ī kasān ēdōn bē kunēd dād ī ǰuddēw ud dād ī zardušt harw ēk dagrabarrawišnīh mēnōy ī spand dēn ī weh mazdēsnān pad ēwkardagīh
s244,3,strong,0.1291,0.0952,6,"ahlaw, dēn, mēnōy, rāst, zardušt, ēk",1.9: (ēk ahlaw Zardušt kē dēn) padīriftār ud yazdān pad [TD4_178] ān ī mēnōy nērōg abēzag- -stāyišnīhā [K35_105v] rāst yaštār ud Druz az ān ī gētīy- -kerbīhā gētīyīg-kārīh agārēnīdār ud dēn ī abēzag kē-š spurr-wehīh ī Spenāg mēnōy ud a-wehīh ī Gannāg Mēnōy ud ōš- -paydāgīh ud ānābi...,PY 3.16: xwāyam ō ēn yazišn mānsrspand ī ahlaw ī kāmagox kū =š kāmag pad menišn abāg ān ī ox rāst ast kē ēdōn gōwēd hād ān =iz ī kasān ēdōn be kunēd dād ī ǰuddēw dād ī zardušt harw ēk dagrabarrawišnīh mēnōy ī spand ud dēn ī weh mazdēsnān pad ēwkardagīh
s1154,4,strong,0.1291,0.0952,6,"ahlaw, dēn, mēnōy, rāst, zardušt, ēk",1.9: (ēk ahlaw Zardušt kē dēn) padīriftār ud yazdān pad [TD4_178] ān ī mēnōy nērōg abēzag- -stāyišnīhā [K35_105v] rāst yaštār ud Druz az ān ī gētīy- -kerbīhā gētīyīg-kārīh agārēnīdār ud dēn ī abēzag kē-š spurr-wehīh ī Spenāg mēnōy ud a-wehīh ī Gannāg Mēnōy ud ōš- -paydāgīh ud ānābi...,caby_ch22_st17: xwāyam ō ēn yazišn mānsrspand ī ahlaw ī kāmagox kū =š kāmag ī pad menišn abāg ān ī ox rāst ast kē ēdōn gōwēd hād ān =iz ī kasān ēdōn be kunēd dād ī ǰuddēw dād ī zardušt harw ēk dagrabarrawišnīh mēnōy ī spand ud dēn ī weh mazdēsnān pad ēwkardagīh
s312,5,medium,0.1196,0.0905,6,"ahlaw, dēn, mēnōy, rāst, zardušt, ēk",1.9: (ēk ahlaw Zardušt kē dēn) padīriftār ud yazdān pad [TD4_178] ān ī mēnōy nērōg abēzag- -stāyišnīhā [K35_105v] rāst yaštār ud Druz az ān ī gētīy- -kerbīhā gētīyīg-kārīh agārēnīdār ud dēn ī abēzag kē-š spurr-wehīh ī Spenāg mēnōy ud a-wehīh ī Gannāg Mēnōy ud ōš- -paydāgīh ud ānābi...,caby_ch4_st19: awēšān niwēyēnam mānsrspand ī ahlaw ī kāmagox kū =š kāmag pad menišn abāg ān ī ox rāst ast kē ēdōn gōwēd hād ān =iz ī kasān ēdōn be kunēd dād ǰuddēw dād zardušt harw ēk dagrabarrawišnīh mēnōy ī spand ud dēn ī weh ī mazdēsnān pad ēwkardagīh pad yazišn ud niyāyišn ud šnāyēnīdārī...
s1361-s1364,1,medium,0.077,0.0623,4,"hamāg, kunišn, wehān, yazdān",1.11: ēk tan-kerdār frašgar Sōšāns kē ān ī druzīhā dēwān stāyišnīh ud yazdān kōxšišnīh andar ahlomōγīh ud ag-dēnīh ī sardag-sardag waxt purr-ānābišnīhā az gēhān ānāftār ud pad bowandag-rawāgīh ī yazdān-stāyišnīh ud spurr-rawāgīh ī ān abēzag dēn Fraškerd-frazāmēnīdār pad ān ī pāšom k...,caby_ch28b_st3: ān mizd ī ōy ohrmazd xwēš xwāyam pad niyāyišn ī ka ǰādaggōwīh ī yazdān ud wehān kunam ustāndast menišnīg pad rāmišn ī xwēš pad mēnōyīgīh ī ohrmazd ī fradom pad gāhānīgīh abzāyēnišn ahlāyīh ī pad harwist kunišn kū kunišn tis hamāg pad gāhānīgīh kunišn pad ān ī wahman xrad pad ā...
s1321-s1322,2,low,0.0738,0.0317,2,"kunišn, ēk",1.11: ēk tan-kerdār frašgar Sōšāns kē ān ī druzīhā dēwān stāyišnīh ud yazdān kōxšišnīh andar ahlomōγīh ud ag-dēnīh ī sardag-sardag waxt purr-ānābišnīhā az gēhān ānāftār ud pad bowandag-rawāgīh ī yazdān-stāyišnīh ud spurr-rawāgīh ī ān abēzag dēn Fraškerd-frazāmēnīdār pad ān ī pāšom k...,"caby_ch27_st6: ašemwohū se guftan pad harw ēk =ēw zōhr andak =ēw pad , vōhū , andar hāwan kunišn"
s1297-s1299,3,low,0.0714,0.0476,2,"sōšāns, wehān",1.11: ēk tan-kerdār frašgar Sōšāns kē ān ī druzīhā dēwān stāyišnīh ud yazdān kōxšišnīh andar ahlomōγīh ud ag-dēnīh ī sardag-sardag waxt purr-ānābišnīhā az gēhān ānāftār ud pad bowandag-rawāgīh ī yazdān-stāyišnīh ud spurr-rawāgīh ī ān abēzag dēn Fraškerd-frazāmēnīdār pad ān ī pāšom k...,caby_ch26_st9: narān =iz ī ahlawān frawahr yazam nāyrīgān =iz ī ahlawān frawahr yazam harwispīn ahlawān ī wehān ī abzārān ī abzōnīgān X frawahr yazam ī az gayōmart tā ō sūdīmand ī pērōzgar sōšāns
s2740-s2742,4,medium,0.0682,0.0493,4,"abēzag, dēn, kunišn, wehān",1.11: ēk tan-kerdār frašgar Sōšāns kē ān ī druzīhā dēwān stāyišnīh ud yazdān kōxšišnīh andar ahlomōγīh ud ag-dēnīh ī sardag-sardag waxt purr-ānābišnīhā az gēhān ānāftār ud pad bowandag-rawāgīh ī yazdān-stāyišnīh ud spurr-rawāgīh ī ān abēzag dēn Fraškerd-frazāmēnīdār pad ān ī pāšom k...,caby_ch53_st2: wezest bišāmrūdīg gōwišn gōwišn ohrmazd ēdōn =iz ōy hammōxtišn pad wahman saxwan ud kunišn ēd kas ī ō pēš gōwam u =š pad šnāyēnīdārīh ō ān ī ohrmazd niyāyišn franāmišn =iz ud yazišn =iz kay wištāsp zardušt ī spitāmān ud frašōštar =iz dahišnīh ān ī abēzag rāh rāh ī ō ānōh kē dē...
s2845,5,low,0.0661,0.0446,3,"abar, dāmān, gēhān",1.11: ēk tan-kerdār frašgar Sōšāns kē ān ī druzīhā dēwān stāyišnīh ud yazdān kōxšišnīh andar ahlomōγīh ud ag-dēnīh ī sardag-sardag waxt purr-ānābišnīhā az gēhān ānāftār ud pad bowandag-rawāgīh ī yazdān-stāyišnīh ud spurr-rawāgīh ī ān abēzag dēn Fraškerd-frazāmēnīdār pad ān ī pāšom k...,caby_ch57_st4: srōšahlī ī hurust ī pērōzgar ī frāydādār ī gēhān ī ahlaw ī ahlāyīh rad yazam kē =š fradom andar ohrmazd dāmān pad frāzwistarišnīh ī abar barsom ā =š yašt ohrmazd u =š yašt amahraspand u =š yašt pānag ī brīngar mihr kē harwistān brēhēnīdār dāmān nēkīh
s2756-s2761,5,strong,0.1649,0.1157,5,"bawēd, nē, wattarīh, wehīh, xwēš",2.8: čē ka wattarīh ast wehīh ānābišn ī wattarīh bawēd čē ka wattarīh nē spurrīg pas čimīg gōwīhēd kū-š dām dād ō xwēš kāmag rawāgīh az wattarīh ānāftagīhā wehīh spurrēnīd rāy,caby_ch53_st6: frāzgōwišnīh ī zardušt frāzgōwišnīh zardušt ēdōn čiyōn pad ān harw dō tis ī gētī ud mēnōy āškārag mard ud zan pad wehīh ēdōn ǰeh ud mar pad wattarīh druz az ān bahr kū =š nīrmad az ōy kē =š hamēšag pāsbānīh pad frāydahišnīh kū =š xwēš tan ēdōn tuwān dāštan ka pad abārōnīh hanb...
s3571-s3573,1,medium,0.1461,0.1039,3,"dahišn, druz, xwēš",2.11: čiyōn paristišn ān ī dādār ī xwābar kē dōst ō xwēš dām kōxšišn ān ī abāg Druz ī kōxšīdār kē dušmen ō dahišn ī dādār [K35_107r],caby_ch72_st5: kē druz az ān pad bēnayišnīh nayēd az ēn gēhān druz ī sāstārīh pad nayišn nayēnd sūdimand druz čiyōn pad nayišn nayēnd sūdimand druz čiyōn ēn zanēnd X pad pāduxšāyīh ōy ī apāduxšāy az harwisp kišwar abar kē haft barsom ō dast ī rāspīg dahišn pad hamēstārīh ud bēbarišnīh ī harw...
s2475-s2478,2,medium,0.139,0.0944,3,"dahišn, dām, xwēš",2.11: čiyōn paristišn ān ī dādār ī xwābar kē dōst ō xwēš dām kōxšišn ān ī abāg Druz ī kōxšīdār kē dušmen ō dahišn ī dādār [K35_107r],caby_ch48_st7: frāzgōwišnīh ī zardušt bē xešm bē dahēd padīrag arešk padīrag wisinnēd kē =tān pad wahman dahišn [dārišn] bawišn kū =tān tan ī xwēš pad frārōnīh dārišn ō ān ahlāyīh niwandag ā =š ān hyšmynšnˈ mard ī abzōnīg kū =š xwēš tan ō ān niwandag kunišn ēdōn ān dām tō dām ohrmazd
